hats,5.25901,3.07433,5.77151,3.21389,1.61293,0.992511,1.37986,1.49025,0.481196,1.40509,1.56286,3.50631,4.25852,1.43433,1.20409,0.598045,0.375575,2.9865,3.34947,1.75174,0.252378,2.57941,0.759511,4.87389,0.435376,0.5842,3.38258,1.28117,1.81739,1.6108,0.947204,2.44438,2.32665,4.21079,1.73372,1.87944,1.1922,0.751555,1.28933,0.90037,1.5491,6.28909,2.43095,0.940254,2.26198,0.600806,2.67575,3.02347,5.71644,0.559142,0.863928,1.35799,1.91066,2.60212,3.41444,2.69469,1.81532,0.523828,2.49129,0.552886,0.45673,0.251769,2.75246,4.43538,3.29304,1.43512,2.97617,0.819124,0.636831,0.725763,0.576698,0.950714,0.582829,3.19467,0.934612,1.39913,3.72151,1.60222,0.494888,0.543259,1.12965,1.12141,1.90096,4.05829,1.62807,5.74598,1.12014,2.12981,1.53762,1.73273,0.611595,0.639403,0.380157,0.785978,0.561116,0.906092,0.198898,0.775866,0.505329,0.514569,1.92792,3.15576,3.831,3.45554,0.488215,2.81416,1.73393,4.67216,1.38783,0.125886,3.20732,0.298065,1.51206,1.96071,4.45747,1.38459,0.908876,0.392645,0.841571,0.582268,1.95519,1.37258,1.88067,1.26717,0.939908,2.30958,4.21225,5.98955
felt,4.95928,2.12943,5.04915,6.17527,2.30433,1.26085,0.730567,0.427028,0.676375,2.79471,2.3998,0.607025,3.36495,1.08442,0.915386,0.284364,1.21494,0.967343,3.7676,2.58777,0.334865,1.35291,0.595902,3.53278,1.98846,1.42377,4.82399,2.18498,0.702123,2.4339,1.20524,1.70441,3.47796,4.4403,0.690032,0.57775,0.942159,0.821669,1.91493,1.94045,1.39852,4.35051,2.55818,0.188188,0.513618,0.65602,2.84449,1.18683,5.11297,1.44739,1.18546,2.01987,3.76179,1.17505,3.21034,1.64332,0.459542,0.852187,1.26591,0.517979,0.436518,0.435953,0.718036,4.25188,1.19886,4.60623,1.49956,0.876425,1.43208,1.39213,1.1277,1.83897,0.262953,0.584799,2.33743,1.24988,3.15292,0.879584,0.452633,1.44485,1.49694,0.902918,5.08814,0.945283,1.37165,6.08773,0.811518,0.949978,1.61481,0.860341,0.664603,0.804525,0.629483,1.39813,0.789225,0.386551,0.160246,2.25477,1.54708,1.34526,1.98639,1.63021,1.86718,2.59728,1.56518,4.28049,1.50593,1.24006,3.16019,0.42362,1.49991,2.11074,1.8667,1.44816,5.08381,2.87457,0.652908,1.45865,0.916004,2.0993,4.90365,1.3776,3.47113,2.46905,1.91044,0.461163,4.3788,5.17053
hitch,3.8352,1.09323,1.91619,0.844456,4.02091,2.16275,1.78556,2.22639,1.87782,0.881344,1.38345,2.06502,1.07506,2.60143,0.876134,1.75532,1.65568,1.92967,0.470159,0.57552,0.783936,0.457625,0.697241,0.428835,2.30714,0.809344,0.848369,0.263195,1.3148,1.10104,1.1418,3.08583,0.710252,0.493863,1.64239,2.12309,3.31583,0.642342,2.62886,1.76751,3.54173,0.699859,2.9159,1.82324,1.61866,2.57158,1.11935,1.63019,1.72846,0.795375,1.01193,1.85059,0.416848,1.97959,1.16742,1.45935,0.948952,1.11277,0.558157,0.657235,1.24677,0.968097,1.0705,2.27837,0.828302,1.54081,0.65122,3.19069,4.57794,1.31252,1.64175,1.68833,3.76683,1.51834,0.499705,0.967786,2.10256,6.17433,1.99472,1.13086,1.2152,2.28638,0.694992,1.72652,2.43051,0.349434,0.315365,0.804116,3.47864,1.13735,2.62951,2.16826,2.53781,1.39926,1.69065,0.861598,3.1864,1.39808,0.596953,1.01412,1.36278,0.584813,0.922015,1.0213,3.09582,1.51297,1.98392,1.69808,3.76019,1.89894,1.35841,1.49292,2.32132,1.07195,0.70984,1.26298,1.24123,1.62959,0.182402,1.61096,0.201558,1.57628,1.30983,1.49141,2.17079,1.0744,1.6355,2.33143
straws,0.875295,0.573453,1.94294,3.60622,1.8557,6.26915,5.44672,0.345039,0.879932,2.30356,2.34612,1.91655,1.83654,0.818237,1.0607,0.910015,2.25308,0.40508,5.01311,4.19977,0.512557,1.70271,0.8917,3.06801,3.86124,1.54693,1.80672,3.6481,2.2019,1.37999,1.36694,0.872594,5.93082,1.76192,0.921954,0.604711,0.773447,0.324457,3.58908,1.62477,3.15074,5.48369,3.01179,1.06725,0.9346,0.424805,2.11174,2.40279,2.1019,1.79921,3.43027,1.69148,4.29008,1.09234,2.46627,2.17637,1.72348,1.42321,0.523417,0.878025,1.61781,3.14956,2.6206,1.61498,4.11358,3.31032,1.24545,1.39149,1.21778,1.45358,1.37084,5.87352,0.325595,2.61138,2.19212,0.891549,4.24697,1.14419,0.65067,1.31351,1.00883,0.764696,2.57606,1.227,1.87317,1.71955,4.05203,2.55554,0.834489,3.41588,0.515466,0.875936,1.00108,0.792597,3.33581,2.15599,0.717067,0.821362,0.779561,1.45497,3.54963,1.79283,1.3124,5.00201,1.83115,0.944893,2.03461,3.05476,1.41395,0.642394,2.1631,3.74489,1.54486,0.786819,2.3626,0.795318,0.517769,1.28965,1.44957,1.1949,8.27321,0.646182,1.81452,0.804193,0.391887,0.355905,1.4089,2.17528
woods,2.87089,1.1201,6.13934,1.25487,-0.121967,-0.277963,1.22524,0.0892449,3.77348,0.454705,1.0275,3.81031,0.419288,4.9122,3.57437,1.47323,1.46418,3.7753,1.02146,0.724067,1.36591,0.461933,4.35992,0.75153,4.2868,2.21873,0.278227,1.84071,0.905991,2.47562,0.995254,0.374839,0.050132,0.55238,1.29443,4.42753,-0.534191,-0.141436,4.78773,1.76004,-0.26594,0.0187091,7.80214,3.34462,3.67322,1.80361,0.901862,1.25861,1.74633,2.00039,0.638189,1.17365,1.36018,1.63114,0.287358,-0.0413132,0.180129,0.394263,0.469867,0.284028,-0.018684,4.1804,3.03544,2.69821,6.99499,0.80364,0.375516,5.10713,0.282197,4.84127,0.908799,0.624301,4.41569,-0.44021,2.50306,0.59444,2.06398,2.0369,0.61832,1.14626,0.698555,6.22529,0.780779,1.22557,2.24903,0.848356,-0.0678678,3.944,2.87522,1.24759,0.0552637,2.38102,0.760642,0.0781076,0.597068,0.354226,0.841867,4.70455,2.66086,-0.647394,1.29497,2.78728,1.72233,2.2809,4.90424,5.65566,0.936952,2.17063,0.2009,2.93987,-0.279629,0.617288,2.06637,0.813184,0.00570393,3.75726,3.28402,6.31498,0.835185,0.84416,2.52868,-0.173392,3.03951,4.24095,1.40042,4.22791,4.7247,7.58623
railing,0.619135,2.11336,3.78722,0.491559,1.5868,3.16232,0.738454,0.568982,6.94469,3.76149,0.980161,0.312159,1.11864,0.948545,1.81142,5.39589,2.69338,0.839168,0.266802,0.305274,4.59047,0.671248,1.90328,3.6648,2.3433,0.0230912,1.08552,1.30014,3.77781,0.172167,4.93901,3.54249,1.10819,0.0841422,0.320128,2.36378,0.872971,0.75035,1.85553,0.729966,1.96456,0.716428,2.95291,0.884656,2.64317,2.11623,0.941536,4.31818,0.845725,2.34389,0.415939,0.140232,4.57286,2.84702,0.170688,0.513153,0.754353,3.23278,1.28266,0.17746,0.790054,2.97637,0.55984,1.20861,0.329111,1.3026,2.7397,5.8384,0.915413,2.17788,3.97227,1.16437,0.81966,1.84814,0.803016,1.38118,0.962747,3.09919,0.998088,2.04828,5.0584,0.721133,0.583501,0.483892,3.24089,1.11818,0.283828,2.68083,0.849557,1.23903,1.2393,4.38359,2.01215,1.07884,0.806945,1.30903,4.63688,0.229048,4.21893,2.95284,0.52266,1.97614,0.716766,0.377124,0.423483,1.66753,4.51742,0.578512,3.40408,0.604248,1.54088,0.853456,2.41178,1.87987,4.56842,0.711519,0.497757,3.95367,0.821638,1.33689,1.4796,0.629299,1.3905,2.29644,2.61231,0.687836,4.47928,1.26164
mansion,0.0727699,1.19083,5.73661,1.27589,0.831755,0.64215,0.146644,0.30519,6.66826,0.401163,0.136197,0.330059,3.46947,2.18676,0.989459,6.44426,3.94207,0.0894278,0.880106,3.54384,3.43842,0.552799,1.10006,1.88777,3.87266,0.113455,1.04049,1.45631,6.62797,1.13802,2.92487,0.654966,0.274167,0.0904603,1.306,0.364169,0.740551,1.80703,0.254219,0.117314,4.45823,0.0936825,4.2566,2.44205,5.68446,1.11017,0.353896,6.55021,0.764924,0.313526,2.46675,0.425445,2.38669,0.743694,0.0991884,0.37173,0.289818,2.20667,0.105955,3.91139,0.381969,0.917836,1.15952,0.238939,0.178856,0.206124,2.13884,2.68304,0.358866,0.248268,2.69461,1.13171,0.251207,2.38245,0.206406,0.471287,0.534791,0.908049,0.661035,2.46626,1.30922,4.46778,1.04754,0.0640393,0.470546,0.190526,1.02755,3.18636,0.816442,2.80049,4.06362,1.06539,1.09804,0.779096,0.0847003,2.16074,8.3717,0.150012,0.393375,3.51077,2.90711,4.1189,2.31549,0.323201,1.47192,3.92142,5.58149,2.53237,0.724644,0.344896,5.38751,2.48989,2.79251,0.381743,4.19645,0.240001,0.336646,0.0881408,1.33618,3.71643,5.26355,0.174384,0.983584,5.13464,3.17491,0.132789,0.208163,0.150275
captain,5.6495,0.737453,5.39669,0.232863,2.19615,0.723979,0.514186,1.51175,1.91539,0.462789,2.40743,2.33115,1.62868,0.770796,2.37269,2.34049,0.338394,2.35206,0.350329,1.44747,0.987877,1.7275,1.21922,3.29643,3.69607,3.69976,0.561227,0.540895,1.78686,1.75494,1.35765,0.352468,1.00773,1.27178,1.36945,4.27071,1.71567,0.604844,2.06627,3.84723,1.9564,2.07224,3.09406,4.38696,4.33924,0.867952,0.55401,0.718486,4.46305,0.601975,0.773057,2.1639,0.251151,1.15095,0.410374,0.364883,1.22958,0.568355,0.435658,0.48852,0.604249,0.277598,3.60719,4.59282,4.5302,0.792612,0.642163,1.51785,0.722475,1.45904,0.878685,1.25671,1.25932,2.56532,0.827241,0.642015,0.786209,1.82073,0.435874,0.169,0.294754,3.62882,0.614561,3.27444,0.946561,0.561893,1.22413,4.62461,0.91489,1.11856,2.53096,3.85091,0.239766,1.8773,0.183455,0.34794,1.05032,0.455111,0.20778,0.563504,0.420418,3.69847,1.65734,0.460787,0.569114,0.905954,0.956048,6.10615,0.31313,0.832423,2.44445,0.535711,3.53124,0.187028,2.27957,0.214643,3.80067,0.5218,0.49672,0.282213,0.423547,0.270202,0.978509,2.57405,1.39653,3.69649,0.92947,5.47499
skeleton,0.692007,2.74968,1.92338,1.20621,1.5475,1.71407,1.47853,0.578397,5.50093,2.27699,0.450178,2.07044,2.07962,0.47469,1.29269,4.82026,3.41286,0.717351,0.455559,0.935111,4.12788,2.28334,0.741911,2.09518,1.50018,0.387153,0.739376,0.695559,3.95373,0.860042,2.76596,1.75774,0.988549,0.577733,0.747601,0.988217,0.705638,1.50653,0.754089,0.748708,1.19217,0.890543,2.92081,1.38456,3.08172,3.41264,1.18225,5.39415,0.710218,2.6728,0.937138,0.386567,3.01868,1.14026,0.376747,1.15203,1.10996,2.3362,1.03871,1.05254,0.899434,3.09736,1.40807,1.12012,0.970842,0.566473,2.70098,3.33689,1.11224,1.09774,2.25979,0.944944,0.459215,1.17468,0.961411,2.5611,1.57041,1.87831,2.25218,1.21753,3.10761,1.84701,1.08689,0.411289,1.93574,0.868142,0.605594,0.867544,0.816604,1.23845,0.729677,3.39775,2.03945,0.5402,1.4241,1.19902,5.91857,0.536185,3.24506,0.560406,1.78772,2.912,1.19687,1.41614,0.592909,3.5194,1.8693,0.512968,0.576695,0.607515,2.46674,0.503064,2.74602,1.87121,4.15423,1.10904,1.33294,1.89222,1.23118,1.42158,1.83336,0.916926,0.482346,1.15828,1.26832,0.73474,1.49112,0.856844
trolley,0.214818,3.34046,1.41981,-0.0337541,7.78469,4.93354,0.206111,0.0956145,9.92242,0.00898212,0.37232,0.279676,0.196912,0.274413,6.53232,5.12932,10.56,5.5746,0.367735,4.47086,6.90448,4.12865,3.29694,0.146999,0.583254,0.178895,-0.0344998,0.131155,4.34074,0.181141,0.272508,0.508034,0.328911,0.245296,0.535148,4.1771,-0.0045994,0.358306,0.069605,0.168617,11.1149,8.03625,0.79249,6.56598,7.70161,0.203095,0.302573,2.37483,0.605565,0.0910947,0.160018,1.9197,0.430526,0.213608,-0.0531845,0.0589391,2.79928,0.230191,0.574991,7.46935,0.332494,0.62462,0.77583,7.75994,0.132616,0.204511,1.88776,0.506307,9.53056,0.162943,4.1045,4.87361,0.118049,5.6651,0.424764,0.81662,2.33151,4.72728,3.948,7.38328,4.33924,1.10441,0.0498228,0.345712,0.605308,0.0709167,0.257843,2.69899,0.414991,3.17159,5.60315,9.02794,4.90474,0.167325,0.0275922,2.2621,12.058,1.94833,1.71235,0.519125,0.669617,3.07042,0.678709,0.0842648,5.14437,0.207388,0.689894,2.81138,0.370353,6.67169,8.63038,0.224902,0.35058,0.552669,10.7971,0.0954918,1.65929,0.155052,2.72519,6.27117,0.762536,0.140103,2.20083,0.687472,11.0942,0.299034,0.107327,0.218493
